Membres 2020-2021;Mission;Sujet;Date;Photo;Id ORCID
Santiago ARROYAVE TOBON;Coordinateur du projet, Enseignant-chercheur;;;santiago_arroyave-tobon;0000-0002-6704-0977
Jean-Marc LINARES;Enseignant-chercheur;Metrologie, conception;;jean-marc_linares;0000-0001-7501-0383
Emmanuel MERMOZ;PAST;;;emmanuel_mermoz;
Julien CHAVES-JACOB;Enseignant-chercheur;;;julien_chaves-jacob;0000-0002-4798-4276
Kalenia MARQUEZ-FLOREZ;PostDoc;ANR BioDesign;mars-21;kalenia_marquez-florez;0000-0001-6388-3208
Paul HEYMANN;Stage Master;Algorithmes de conception mécanique inspirés de la morphogenèse;Février - Juin 2021;paul_heymann;
Paul ROUSSEL;Stage Master;Etude allométrique sur l'articulation du coude chez les quadrupèdes;Mars - Mai 2021;;
Thomas DA-PRATO;Stage DUT informatique;Réalisation de 2 sites webs ainsi que mise en réseau d'ordinateur de calcul;Avril - Juin 2021;thomas_da-prato;
